Variable,Value,Year,Date,DOY
ETo,0.1629,1980,19800101,1
ETo,0.1744,1980,19800106,6
ETo,0.1119,1980,19800111,11
ETo,0.1058,1980,19800116,16
ETo,0.0796,1980,19800121,21
ETo,0.0812,1980,19800126,26
ETo,0.1446,1980,19800131,31
ETo,0.1745,1980,19800205,36
ETo,0.1902,1980,19800210,41
ETo,0.2401,1980,19800215,46
ETo,0.2597,1980,19800220,51
ETo,0.3611,1980,19800225,56
ETo,0.3284,1980,19800301,61
ETo,0.3579,1980,19800306,66
ETo,0.465,1980,19800311,71
ETo,0.3902,1980,19800316,76
ETo,0.3817,1980,19800321,81
ETo,0.4441,1980,19800326,86
ETo,0.3378,1980,19800331,91
ETo,0.5956,1980,19800405,96
ETo,0.638,1980,19800410,101
ETo,0.9896,1980,19800415,106
ETo,0.9899,1980,19800420,111
ETo,0.8977,1980,19800425,116
ETo,0.7651,1980,19800430,121
ETo,0.7167,1980,19800505,126
ETo,0.6387,1980,19800510,131
ETo,0.69,1980,19800515,136
ETo,0.9538,1980,19800520,141
ETo,0.6319,1980,19800525,146
ETo,0.664,1980,19800530,151
ETo,0.8147,1980,19800604,156
ETo,1.1425,1980,19800609,161
ETo,1.0477,1980,19800614,166
ETo,1.2909,1980,19800619,171
ETo,1.3036,1980,19800624,176
ETo,0.948,1980,19800629,181
ETo,1.2138,1980,19800704,186
ETo,1.3625,1980,19800709,191
ETo,1.2613,1980,19800714,196
ETo,1.3108,1980,19800719,201
ETo,1.4149,1980,19800724,206
ETo,1.3209,1980,19800729,211
ETo,1.319,1980,19800803,216
ETo,1.3149,1980,19800808,221
ETo,1.0435,1980,19800813,226
ETo,0.9145,1980,19800818,231
ETo,1.1135,1980,19800823,236
ETo,0.9142,1980,19800828,241
ETo,1.0726,1980,19800902,246
ETo,0.6599,1980,19800907,251
ETo,0.8334,1980,19800912,256
ETo,0.8678,1980,19800917,261
ETo,0.6583,1980,19800922,266
ETo,0.8465,1980,19800927,271
ETo,0.6543,1980,19801002,276
ETo,0.7444,1980,19801007,281
ETo,0.4061,1980,19801012,286
ETo,0.3351,1980,19801017,291
ETo,0.3633,1980,19801022,296
ETo,0.3097,1980,19801027,301
ETo,0.4181,1980,19801101,306
ETo,0.3375,1980,19801106,311
ETo,0.1537,1980,19801111,316
ETo,0.1505,1980,19801116,321
ETo,0.1073,1980,19801121,326
ETo,0.1507,1980,19801126,331
ETo,0.2347,1980,19801201,336
ETo,0.0844,1980,19801206,341
ETo,0.0896,1980,19801211,346
ETo,0.1061,1980,19801216,351
ETo,0.1405,1980,19801221,356
ETo,0.1748,1980,19801226,361
ETo,0.0342,1980,19801231,366
ETo,0.1041,1981,19810101,1
ETo,0.056,1981,19810106,6
ETo,0.0947,1981,19810111,11
ETo,0.1291,1981,19810116,16
ETo,0.2219,1981,19810121,21
ETo,0.1426,1981,19810126,26
ETo,0.1022,1981,19810131,31
ETo,0.1469,1981,19810205,36
ETo,0.2339,1981,19810210,41
ETo,0.2947,1981,19810215,46
ETo,0.3756,1981,19810220,51
ETo,0.3642,1981,19810225,56
ETo,0.3392,1981,19810302,61
ETo,0.383,1981,19810307,66
ETo,0.444,1981,19810312,71
ETo,0.3436,1981,19810317,76
ETo,0.4654,1981,19810322,81
ETo,0.4617,1981,19810327,86
ETo,0.5496,1981,19810401,91
ETo,0.5851,1981,19810406,96
ETo,0.82,1981,19810411,101
ETo,0.7821,1981,19810416,106
ETo,0.7361,1981,19810421,111
ETo,0.8129,1981,19810426,116
ETo,0.9236,1981,19810501,121
ETo,0.7034,1981,19810506,126
ETo,0.6578,1981,19810511,131
ETo,0.775,1981,19810516,136
ETo,0.6764,1981,19810521,141
ETo,0.9144,1981,19810526,146
ETo,1.0487,1981,19810531,151
ETo,0.9007,1981,19810605,156
ETo,0.9593,1981,19810610,161
ETo,1.1652,1981,19810615,166
ETo,1.3694,1981,19810620,171
ETo,1.4682,1981,19810625,176
ETo,1.3133,1981,19810630,181
ETo,1.3925,1981,19810705,186
ETo,1.5189,1981,19810710,191
ETo,1.3223,1981,19810715,196
ETo,1.4209,1981,19810720,201
ETo,1.3124,1981,19810725,206
ETo,1.4354,1981,19810730,211
ETo,1.2841,1981,19810804,216
ETo,1.1224,1981,19810809,221
