Variable,Value,WaterYear
ETo,47.6601,1981
ETo,42.2622,1982
ETo,42.014,1983
ETo,41.5405,1984
ETo,44.7168,1985
ETo,44.114,1986
ETo,47.0377,1987
ETo,50.6002,1988
ETo,46.336,1989
ETo,46.9022,1990
ETo,45.5783,1991
ETo,49.3767,1992
ETo,41.804,1993
ETo,49.6079,1994
ETo,41.9987,1995
ETo,46.1536,1996
ETo,43.0031,1997
ETo,40.9131,1998
ETo,43.4449,1999
ETo,50.1011,2000
ETo,46.6608,2001
ETo,46.7901,2002
ETo,46.9357,2003
ETo,44.8478,2004
ETo,43.1259,2005
ETo,45.2799,2006
ETo,47.6888,2007
ETo,46.082,2008
ETo,43.5062,2009
ETo,44.276,2010
ETo,44.021,2011
ETo,50.9638,2012
ETo,45.655,2013
ETo,45.7446,2014
ETo,46.9752,2015
ETo,46.4283,2016
ETo,44.3097,2017
ETo,47.968,2018
ETo,44.1368,2019
ETo,46.3546,2020
ETo,49.1177,2021
ETo,45.0418,2022
ETo,41.7679,2023
ETo,45.4049,2024
ETo,48.4205,2025
Precip,12.1626,1981
Precip,22.9155,1982
Precip,21.0055,1983
Precip,21.1972,1984
Precip,13.3273,1985
Precip,19.4844,1986
Precip,11.4443,1987
Precip,8.4389,1988
Precip,13.8207,1989
Precip,11.801,1990
Precip,14.3184,1991
Precip,8.4858,1992
Precip,20.5984,1993
Precip,10.3901,1994
Precip,19.0904,1995
Precip,15.6798,1996
Precip,19.7674,1997
Precip,17.7815,1998
Precip,15.3496,1999
Precip,10.0565,2000
Precip,9.5536,2001
Precip,11.8577,2002
Precip,9.9001,2003
Precip,13.4822,2004
Precip,16.4892,2005
Precip,18.1649,2006
Precip,12.6643,2007
Precip,10.4905,2008
Precip,17.5777,2009
Precip,10.0158,2010
Precip,17.9847,2011
Precip,11.7223,2012
Precip,12.3114,2013
Precip,15.4031,2014
Precip,13.5821,2015
Precip,16.6152,2016
Precip,22.8161,2017
Precip,11.635,2018
Precip,18.8379,2019
Precip,12.2729,2020
Precip,10.3542,2021
Precip,15.0797,2022
Precip,20.3319,2023
Precip,16.8925,2024
Precip,11.8759,2025
Tmax,60.6978,1981
Tmax,56.5563,1982
Tmax,56.4644,1983
Tmax,54.8931,1984
Tmax,55.3103,1985
Tmax,56.9954,1986
Tmax,60.2243,1987
Tmax,60.6285,1988
Tmax,58.1169,1989
Tmax,60.4677,1990
Tmax,57.8715,1991
Tmax,61.3149,1992
Tmax,54.2987,1993
Tmax,60.8777,1994
Tmax,57.2526,1995
Tmax,59.5434,1996
Tmax,58.423,1997
Tmax,58.2938,1998
Tmax,57.4488,1999
Tmax,61.527,2000
Tmax,58.2358,2001
Tmax,57.3887,2002
Tmax,60.3493,2003
Tmax,58.005,2004
Tmax,57.8994,2005
Tmax,58.5058,2006
Tmax,59.9326,2007
Tmax,57.034,2008
Tmax,58.372,2009
Tmax,56.3522,2010
Tmax,57.3332,2011
Tmax,60.6875,2012
Tmax,58.515,2013
Tmax,58.7313,2014
Tmax,60.9923,2015
Tmax,59.1424,2016
Tmax,58.5839,2017
Tmax,59.8701,2018
Tmax,57.0644,2019
Tmax,58.4921,2020
Tmax,60.2756,2021
Tmax,58.5804,2022
Tmax,55.8413,2023
Tmax,59.3936,2024
Tmax,61.3021,2025
Tmin,34.2097,1981
Tmin,32.9073,1982
Tmin,33.9852,1983
Tmin,31.718,1984
Tmin,29.7831,1985
Tmin,32.328,1986
Tmin,33.1023,1987
Tmin,33.2479,1988
Tmin,32.743,1989
Tmin,33.8639,1990
Tmin,32.1405,1991
Tmin,34.3583,1992
Tmin,30.6364,1993
Tmin,33.5628,1994
Tmin,33.2166,1995
Tmin,33.5087,1996
Tmin,34.0939,1997
Tmin,34.4708,1998
Tmin,32.8286,1999
Tmin,34.5233,2000
Tmin,32.3257,2001
Tmin,31.9604,2002
Tmin,34.7318,2003
Tmin,33.3592,2004
Tmin,33.5532,2005
Tmin,33.5257,2006
Tmin,34.1019,2007
Tmin,31.9013,2008
Tmin,33.6304,2009
Tmin,31.6097,2010
Tmin,32.3569,2011
Tmin,33.8192,2012
Tmin,32.668,2013
Tmin,34.3128,2014
Tmin,35.696,2015
Tmin,34.6791,2016
Tmin,34.0834,2017
Tmin,34.6432,2018
Tmin,33.666,2019
Tmin,32.9838,2020
Tmin,34.4799,2021
Tmin,33.6445,2022
Tmin,32.1742,2023
Tmin,35.081,2024
Tmin,36.1041,2025
