Variable,Value,Year,Date,DOY
LTB,0.4302,1985,19851001,274
LTB,1.0083,1986,19861001,274
LTB,-0.2117,1987,19871001,274
LTB,-1.7555,1988,19881001,275
LTB,-0.6422,1989,19891001,274
LTB,-0.7236,1990,19901001,274
LTB,-0.2743,1991,19911001,274
LTB,-1.5475,1992,19921001,275
LTB,1.1736,1993,19931001,274
LTB,-0.8262,1994,19941001,274
LTB,0.8837,1995,19951001,274
LTB,0.1979,1996,19961001,275
LTB,1.1673,1997,19971001,274
LTB,1.1063,1998,19981001,274
LTB,0.6251,1999,19991001,274
LTB,-0.9999,2000,20001001,275
LTB,-1.4596,2001,20011001,274
LTB,-1.0194,2002,20021001,274
LTB,-1.2865,2003,20031001,274
LTB,-0.6416,2004,20041001,275
LTB,0.2853,2005,20051001,274
LTB,0.6337,2006,20061001,274
LTB,-0.4313,2007,20071001,274
LTB,-1.1888,2008,20081001,275
LTB,0.4367,2009,20091001,274
LTB,-0.785,2010,20101001,274
LTB,0.3584,2011,20111001,274
LTB,-0.7503,2012,20121001,275
LTB,-0.6852,2013,20131001,274
LTB,0.1126,2014,20141001,274
LTB,0.0085,2015,20151001,274
LTB,-0.0167,2016,20161001,275
LTB,1.545,2017,20171001,274
LTB,-0.4519,2018,20181001,274
LTB,0.6267,2019,20191001,274
LTB,-0.1931,2020,20201001,275
LTB,-1.0833,2021,20211001,274
LTB,-0.326,2022,20221001,274
LTB,1.247,2023,20231001,274
LTB,0.6102,2024,20241001,275
LTB,-0.6919,2025,20251001,274
